Código;Descrição
106044000;Serviços de reboque para veículos particulares e comerciais
106049000;Outros serviços de apoio ao transporte rodoviário
10605;Serviços de apoio para transportes aquaviários
106051000;Serviços de operação de portos e canais, exceto manuseio de cargas
106052000;Serviços de praticagem e de docas 
106053000;Serviços de salvamento de embarcações 
106059000;Outros serviços de apoio ao transporte aquaviário, exceto os serviços de navegação de apoio
10606;Serviços de apoio ao transporte aéreo 
106061000;Serviços de operação de aeroportos, exceto manuseio de cargas
106062000;Serviços de controle de tráfego aéreo
106069000;Outros serviços de apoio ao transporte aéreo
10607;Outros serviços de apoio aos transportes, exceto serviços de apoio ao transporte multimodal e intermodal de cargas
106071000;Serviços de agências de fretamento de transporte e outros serviços de fretamento de transportes
106079000;Outros serviços de apoio aos transportes, exceto serviços de apoio ao transporte multimodal e intermodal de cargas
10608;Serviços de apoio ao transporte multimodal e intermodal de cargas
106081000;Serviços de coleta e entrega do transporte multimodal e intermodal de cargas 
106082000;Serviços de unitização ou desunitização do transporte multimodal e intermodal de cargas
106083000;Serviços de movimentação do transporte multimodal e intermodal de cargas
106084000;Serviços de consolidação ou desconsolidação documental do transporte multimodal e intermodal de cargas
106089000;Outros serviços de apoio ao transporte multimodal e intermodal de cargas
107;Serviços postais, serviços de coleta, remessa ou entrega de documentos (exceto cartas) ou de pequenos objetos, serviços de remessas expressas
107010000;Serviços postais e de telegrama
107020000;Serviços de coleta, remessa ou entrega de documentos (exceto cartas) ou de pequenos objetos
107030000;Serviços de remessas expressas
108;Serviços de transmissão e distribuição de eletricidade, serviços de distribuição de gás e água
10801;Serviços de transmissão e distribuição de eletricidade e gás
108011;Serviços de transmissão e distribuição de eletricidade
108011100;Serviços de transmissão de eletricidade
108011200;Serviços de distribuição de eletricidade
108012000;Serviços de distribuição de gás canalizado
10802;Serviços de distribuição de água
108021000;Serviços de distribuição de água por meio de tubulações, exceto vapor de água e água quente
108022000;Serviços de distribuição de vapor de água, água quente e ar condicionado por meio de tubulações 
108023000;Serviços de distribuição de água, exceto através de tubulações 
109;Serviços financeiros e relacionados, securitização de recebíveis e fomento comercial 
10901;Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar
109011000;Serviços de banco central
109012;Serviços de depósito 
109012100;Serviços de depósito para pessoas jurídicas
109012200;Serviços de depósito para pessoas físicas
109012900;Outros serviços de depósito
109013;Serviços de concessão de crédito 
109013100;Serviços de financiamentos imobiliários residenciais
109013200;Serviços de financiamentos imobiliários não-residenciais
109013300;Serviços de empréstimos e financiamentos, pessoais
109013400;Serviços de empréstimos e financiamentos, comerciais 
109013500;Serviços de empréstimos e financiamentos, industriais
109013600;Serviços de empréstimos e financiamentos, agropecuários
109013900;Outros serviços de concessão de crédito 
109014000;Serviços de cartão de crédito 
109015;Operações de arrendamento mercantil financeiro
1090151;Arrendamento mercantil financeiro de máquinas e equipamentos
10901511;Arrendamento mercantil financeiro de equipamentos de transporte
109015111;Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de passageiros 
109015112;Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de mercadorias 
109015113;Arrendamento mercantil financeiro de veículos e equipamentos ferroviários 
109015114;Arrendamento mercantil financeiro de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto 
109015115;Arrendamento mercantil financeiro de navios e outras embarcações
109015116;Arrendamento mercantil financeiro de aeronaves
109015117;Arrendamento mercantil financeiro de contêineres 
10901512;Arrendamento mercantil financeiro de outras máquinas e equipamentos 
109015121;Arrendamento mercantil financeiro de máquinas e equipamentos agrícolas 
109015122;Arrendamento mercantil financeiro de máquinas e equipamentos de construção 
109015123;Arrendamento mercantil financeiro de máquinas e equipamentos para escritórios, exceto computadores 
109015124;Arrendamento mercantil financeiro de computadores
109015125;Arrendamento mercantil financeiro de equipamentos de telecomunicação 
109015129;Arrendamento mercantil financeiro de máquinas e equipamentos, não classificados em outra posição 
1090152;Arrendamento mercantil financeiro de outras mercadorias 
109015210;Arrendamento mercantil financeiro de televisão e outros eletroeletrônicos domésticos, bem como seus acessórios 
109015220;Arrendamento mercantil financeiro de mídias gravadas 
109015230;Arrendamento mercantil financeiro de móveis e eletrodomésticos
109015240;Arrendamento mercantil financeiro de equipamentos para diversão e lazer 
109015250;Arrendamento mercantil financeiro de artigos de cama, mesa e banho
109015290;Arrendamento mercantil financeiro de outras mercadorias não classificadas em outra posição
109019000;Outros serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar
10902;Serviços de banco de investimento
109021000;Serviços de valoração de ativos
109022000;Serviços de subscrição de valores mobiliários
109023000;Serviços de fusões e aquisições  
109024000;Serviços de capital de risco e finanças corporativas 
109029000;Outros serviços relacionados a bancos de investimentos 
10903;Serviços de seguros e previdência complementar (excluídos os serviços de resseguros), exceto serviços de previdência social compulsória
109031;Serviços de seguros de vida e de previdência complementar, excluídos os serviços de resseguros  
109031100;Serviços de seguros de vida
109031200;Serviços de previdência complementar aberta
109031300;Serviços de previdência complementar fechada
109032000;Serviços de seguros saúde e de acidentes
109039;Outros serviços de seguros, excluídos os serviços de resseguros 
109039100;Serviços de seguros de veículos rodoviários
109039200;Serviços de seguros de veículos e equipamentos para transporte ferroviário, aquaviário e aéreo 
109039300;Serviços de seguros de cargas
109039400;Serviços de seguros de outras propriedades
109039500;Serviços de seguros por responsabilidade civil
109039600;Serviços de seguros de crédito e de caução
109039700;Serviços de seguros de viagem 
109039900;Outros serviços de seguros 
10904;Serviços de resseguros e de retrocessão
109041000;Serviços de resseguros de vida 
109042000;Serviços de resseguros saúde e de acidentes
109043;Serviços de resseguros não classificados nas subposições anteriores e serviços de retrocessão
109043100;Serviços de resseguros de veículos rodoviários 
109043200;Serviços de resseguros de veículos e equipamentos para transporte ferroviário, aquaviário e aéreo 
109043300;Serviços de resseguros de cargas
109043400;Serviços de resseguros de outras propriedades
109043500;Serviços de resseguros de responsabilidade civil
109043600;Serviços de resseguros de crédito e caução 
109043900;Outros serviços de resseguros e serviços de retrocessão
10905;Serviços auxiliares aos serviços financeiros, exceto os relacionados a seguros e previdência complementar
109051;Serviços de corretagem de títulos, derivativos e commodities 
109051100;Serviços de corretagem de títulos
109051200;Serviços de corretagem de derivativos e commodities
109051300;Serviços de compensação de transações financeiras, inclusive com ativos financeiros (clearinghouse)
109052000;Serviços de gestão e administração de carteiras de ativos, exceto fundos de pensão 
109053000;Serviços de guarda e custódia 
109054000;Serviços relacionados à administração de mercados financeiros 
109059;Outros serviços auxiliares aos serviços financeiros 
109059100;Serviços de consultoria financeira 
109059200;Serviços de câmbio 
